barcode,label,shape_descriptor_area,shape_descriptor_centroid_x,shape_descriptor_centroid_y,shape_descriptor_convex_area,shape_descriptor_eccentricity,shape_descriptor_equivalent_diameter,shape_descriptor_euler_number,shape_descriptor_extent,shape_descriptor_filled_area,shape_descriptor_major_axis_length,shape_descriptor_minor_axis_length,shape_descriptor_orientation,shape_descriptor_perimeter,shape_descriptor_solidity,shape_descriptor_weighted_centroid_x_c01,shape_descriptor_weighted_centroid_y_c01,well,z_stack,intensity_mad_c1,intensity_mass_displacement_c1,intensity_max_c1,intensity_mean_c1,intensity_median_c1,intensity_min_c1,intensity_std_c1,intensity_sum_c1,intenstiy_lower_quartile_c1,intenstiy_upper_quartile_c1,intensity_mad_c4,intensity_mass_displacement_c4,intensity_max_c4,intensity_mean_c4,intensity_median_c4,intensity_min_c4,intensity_std_c4,intensity_sum_c4,intenstiy_lower_quartile_c4,intenstiy_upper_quartile_c4,intensity_mad_c2,intensity_mass_displacement_c2,intensity_max_c2,intensity_mean_c2,intensity_median_c2,intensity_min_c2,intensity_std_c2,intensity_sum_c2,intenstiy_lower_quartile_c2,intenstiy_upper_quartile_c2,intensity_mad_c3,intensity_mass_displacement_c3,intensity_max_c3,intensity_mean_c3,intensity_median_c3,intensity_min_c3,intensity_std_c3,intensity_sum_c3,intenstiy_lower_quartile_c3,intenstiy_upper_quartile_c3
180823UM1f2,1,19008,2759.9713804713806,63.86026936026936,19492,0.4922000996176589,155.56907554628577,1,0.8278745644599304,19008,167.88250964441326,146.13871718752407,-1.4547837118082125,585.2548339959391,0.9751693002257337,2761.2880399255614,64.04697455983485,C3,1,94.88654198435853,1.3298311734308317,666,253.27014941077442,263.0,109,88.70288376314804,4814159,168.0,311.0,2699.8186398987013,1.1391269550113632,19436,11311.10627104377,12344.0,287,3812.202851044417,215001508,9927.75,13844.0,38.54765768114565,0.7317003489927881,1284,220.25573442760944,211.0,115,53.72817556442485,4186621,188.0,241.0,45.96066877367366,1.0529208822517897,821,272.02325336700335,275.0,105,58.41217332843349,5170618,243.0,305.0
180823UM1f2,2,26816,214.73866348448686,145.9272076372315,27554,0.28088078977337616,184.77876401691327,1,0.7924349881796691,26816,188.74919713674558,181.15065736993728,-1.4485901055502768,702.7106781186548,0.9732162299484648,217.4053642823435,145.69632155083488,C3,1,114.16037082493135,2.6766773302324904,672,236.82678251789977,234.0,112,89.35836865736107,6350747,149.0,297.0,2216.490316665875,0.5865355536304169,18920,11745.72553699284,13326.0,326,4342.457398333082,314973376,10786.5,14475.0,48.92587321068486,2.3689938649960176,1232,256.14487619331743,251.0,110,68.46597823638207,6868781,220.0,286.0,45.96066877367366,1.0155635799032026,757,265.2616721360382,273.0,104,62.87232679549009,7113257,240.0,302.0
180823UM1f2,3,39952,877.4006808169804,279.38065678814576,40984,0.287508522481929,225.54038727300977,1,0.7822681704260651,39952,230.58755238232783,220.85170306887105,1.009045950617841,863.095454429505,0.9748194417333593,875.5913840069733,277.3747991816459,C3,1,59.30408874022408,2.701299628744497,638,239.1689277132559,240.0,109,64.35923675976231,9555277,198.0,278.0,1073.4040061980559,1.018218583269666,14129,9613.673282939528,9840.0,1199,1450.888182883896,384085475,8958.0,10460.0,28.169442151606436,1.8283830265428298,928,195.86533840608732,187.0,108,40.69835150216297,7825212,170.0,211.0,38.54765768114565,1.7031802658607043,739,273.3532238686424,270.0,117,47.42994151210132,10921008,245.0,297.0
180823UM1f2,4,26448,820.85148215366,666.6397459165154,27254,0.39769843145687994,183.5065107268829,1,0.7652777777777777,26448,191.67076515352662,175.86103004274503,1.2438066363620184,708.3675323681471,0.9704263594334777,820.375655071203,667.7794449125847,C3,1,48.92587321068486,1.235040571819765,498,214.79397307924984,215.0,107,49.9606864346766,5680871,182.0,247.0,957.7610331546189,0.3365602673623752,13319,9125.097209618874,9216.0,2749,1167.0352762213433,241340571,8525.0,9820.0,31.134646588617642,2.8450826800090354,911,196.58102692075016,187.0,119,45.6758128939041,5199175,168.0,213.0,38.54765768114565,3.193983233407742,679,243.977351784634,241.0,132,40.42039624885387,6452713,216.0,267.0
180823UM1f2,5,31696,376.6176173649672,766.0027763755679,32354,0.42582235868533846,200.88952339513807,1,0.810556464811784,31696,211.28622716500604,191.17321199319784,0.12775980466971512,756.953318805774,0.9796624837732584,377.1550900867009,765.9831546852893,C3,1,69.68230426976329,0.537830770165925,662,265.85177940434124,262.0,111,79.19274486872078,8426438,215.0,308.0,1175.7035592749423,2.2150786503701196,13738,9207.032748611813,9291.0,3432,1281.1573934226708,291826110,8461.75,10053.0,22.239033277584028,1.1663205232337643,615,181.0136925795053,173.0,116,34.87862240184625,5737410,160.0,191.0,34.099851025628844,1.3561610682142107,514,239.5879606259465,237.0,131,36.26370337769971,7593980,214.0,261.0
180823UM1f2,6,9840,3220.8560975609757,1255.1195121951218,10200,0.4854668639585379,111.93157338389379,1,0.7844387755102041,9840,119.9083751718339,104.83050469473551,0.6835270111737861,425.84062043356596,0.9647058823529412,3219.821978159255,1256.5746736865597,C3,1,45.96066877367366,1.7851884783344245,370,167.58414634146342,158.0,103,43.71500031712858,1649028,129.0,198.0,3721.331568449061,3.8355749221118387,16434,8680.494918699187,8110.0,1016,3093.830402153818,85416070,5995.0,11309.5,42.99546433666246,1.008711706086778,611,239.5035569105691,232.0,124,50.65375036828742,2356715,205.0,264.0,47.443270992179265,2.1773115536653176,413,211.04939024390245,206.0,117,43.6633927855692,2076726,177.0,241.0
180823UM1f2,7,30544,1280.6199580932425,1397.0997904662127,31362,0.3223513974961611,197.20504216269626,1,0.7791836734693878,30544,202.92813065403323,192.09584334611435,-1.0920868972208115,755.1959594928933,0.9739174797525668,1280.1590997470123,1397.5469840765277,C3,1,81.5431220178081,0.6421623941002508,692,256.87005631220535,265.0,109,83.21856837409307,7845839,189.0,310.0,1771.7096511141942,0.3721625809214393,16920,10951.07906626506,11745.0,408,2925.4438548210123,334489759,10125.75,12736.0,23.721635496089633,0.6462831116198042,609,190.70269119958093,183.0,107,35.51485476450565,5824823,169.0,203.0,44.478066555168056,0.2473370778218019,721,275.8228129910948,278.0,105,54.69123024811663,8424732,247.0,307.0
180823UM1f2,8,36848,3250.1356925749024,1586.0089014329135,37780,0.18974856211214836,216.60177918106137,1,0.7754208754208755,36848,218.6703254383592,214.6976796415914,1.2181169466560295,831.095454429505,0.9753308628904183,3250.714475102192,1586.9291146745488,C3,1,63.75189539574088,1.0870977987173975,504,237.1956958315241,241.0,108,64.62239172870116,8740187,191.0,279.0,1651.6188714152406,0.4506582811991786,15944,10620.825282240556,11283.0,485,2542.4578793051405,391356170,9743.0,12188.0,29.65204437011204,0.8306467735736771,743,192.8205330004342,185.0,113,36.50450627103374,7105051,168.0,210.0,40.030259899651256,2.517253397202194,1227,254.33700607902736,249.0,107,65.07494157105559,9371810,223.0,276.0
180823UM1f2,9,22752,2866.8473980309423,1596.7601969057666,23634,0.32983075890216923,170.2020743757679,1,0.7523809523809524,22752,175.75821188711,165.9227962090851,0.23665918747959777,663.8822509939085,0.9626808834729627,2867.0638662772612,1595.4734140653661,C3,1,114.16037082493135,1.3048634334724263,675,245.84581575246133,246.0,111,91.22607944221012,5593484,157.0,312.0,2287.6552231541436,2.3011438177078194,17629,10512.907612517582,11454.0,394,3472.938706288805,239189674,9616.0,12831.25,32.61724880712324,7.440785728344772,968,202.9040523909986,183.0,109,84.95477191542093,4616473,164.0,210.0,42.99546433666246,1.1589333872837633,984,226.41165611814347,229.0,101,52.15735011912082,5151318,197.0,256.0
180823UM1f2,10,41472,1938.6882716049383,1766.537037037037,42368,0.14509188649081334,229.79075351122523,1,0.7977839335180056,41472,231.10169242295672,228.65621702852496,-0.6103496537835446,871.6812408671319,0.9788519637462235,1937.264366967815,1765.7301614536973,C3,1,96.36914420286412,1.6366284314441275,646,260.4032359182099,269.0,112,89.26025609440987,10799443,171.0,320.0,2112.7081613704827,0.6142008574429805,20078,12448.94972511574,13929.0,467,4300.3677626516155,516282843,11699.75,15114.0,35.58245324413445,0.8205829127181272,937,212.79880401234567,203.0,111,52.13782733000168,8825192,183.0,233.0,47.443270992179265,0.5898908514257595,1119,296.54306520061726,302.0,106,72.64255605478408,12298234,270.0,334.0
180823UM1f2,11,25632,212.61610486891385,2131.3826466916353,26370,0.4578405088826528,180.65346941216404,1,0.7585227272727273,25632,191.77616304524568,170.49559569762096,1.231649403926495,699.7817459305202,0.9720136518771331,212.4222388931923,2131.198151964182,C3,1,94.88654198435853,0.2676234687026359,806,258.82830056179773,267.0,113,93.18035452981316,6634287,162.0,316.0,2375.1287540459743,0.29346793791925024,20482,11981.613373907616,13440.0,328,4421.55897798763,307112714,11112.75,14767.0,34.099851025628844,2.0074659990498622,896,203.74282147315856,195.0,111,50.59233821732761,5222336,175.0,224.0,50.40847542919047,0.47156728669121645,897,269.91838327091136,277.0,103,68.37548863500228,6918548,240.0,309.0
180823UM1f2,12,26464,3057.3089480048366,2169.098548972189,27168,0.29411499067566765,183.5620094460489,1,0.782033096926714,26464,187.8424249407734,179.53416228414406,0.19255308660063838,701.539105243401,0.9740871613663133,3057.5729326795963,2169.6508453072024,C3,1,102.29955307688654,0.6121430798250851,678,258.39721886336156,261.0,107,94.09505794027022,6838224,174.0,318.0,1868.0787953170584,0.8694528579535218,17117,11041.843938935914,11793.0,408,2978.2337569893166,292211358,10274.75,12896.0,37.065055462640046,0.4391693343246387,1012,212.51511487303506,202.0,116,51.09996025838779,5624000,180.0,233.0,38.54765768114565,0.3238529905352385,676,263.5927675332527,264.0,107,48.259882492096025,6975719,238.0,289.0
180823UM1f2,13,29984,3833.850053361793,2416.0058697972254,30800,0.41103179995257333,195.38888020903113,1,0.7655228758169934,29984,204.8520037628955,186.74738984664526,0.21870796715193827,754.0243866176395,0.9735064935064935,3835.929149027885,2416.8665513676688,C3,1,85.99092867332492,2.250202558541205,684,254.54675827107792,254.0,110,86.98788473466746,7632330,188.0,305.0,1811.7399110138456,0.5111198710621199,16888,10561.658284418356,11189.0,597,2525.235051527082,316680762,9433.75,12176.0,38.54765768114565,0.9457079188150408,1227,213.8012940234792,204.0,116,52.306075784372396,6410618,181.0,235.0,41.51286211815685,1.43431734487648,720,265.84721851654217,265.0,111,51.513459500788116,7971163,236.0,293.0
180823UM1f2,14,41312,3341.493803253292,2441.0073586367157,42894,0.4690759611278655,229.34705594818314,1,0.7969135802469136,41312,246.84969895491605,218.00724306786884,-1.0277249819492582,891.1959594928933,0.9631183848556908,3336.326233430214,2442.8900732405896,C3,1,63.75189539574088,5.49985383042379,662,241.78415472501936,244.0,106,65.98249750095896,9988587,196.0,283.0,1365.4766432436593,3.7310374731957894,14137,9506.863090627421,9815.0,486,1875.40210038808,392747528,8786.0,10649.0,31.134646588617642,8.2181982785477,1446,200.9659178931061,180.0,115,77.14837023884003,8302304,163.0,208.0,40.030259899651256,36.50924284659991,7619,337.7994771494965,246.0,109,507.60227381178083,13955172,220.0,275.0
180823UM1f2,15,34944,2336.8296703296705,2547.9358974358975,35678,0.2178311955849502,210.9314643461841,1,0.7924528301886793,34944,213.62186550193871,208.49204830369916,0.7951588409843137,800.8528137423857,0.9794270979314984,2335.3228532405087,2547.6277257620422,C3,1,100.81695085838093,1.5380076465205224,662,271.2494848901099,275.0,114,93.02740279236689,9478542,193.0,334.0,1810.25730879534,0.9257480070919263,17373,11445.74587912088,12555.0,470,3413.4847093407857,399960144,10780.75,13581.0,28.169442151606436,2.301017925452926,650,197.78562843406593,188.0,108,44.07568245204798,6911421,172.0,212.0,45.96066877367366,0.8531629641008964,874,285.2124828296703,285.0,106,64.5790914908058,9966465,255.0,318.0
180823UM1f2,16,35040,598.0333333333333,2625.0689497716894,36006,0.26889076652366883,211.22100664356304,1,0.7512864493996569,35040,215.4522339254329,207.51727430702795,0.41057573793896945,821.3380951166242,0.9731711381436428,600.8176309300298,2619.7517382609103,C3,1,74.13011092528009,6.002087250059828,593,197.6976598173516,184.0,106,68.58319428185406,6927326,136.0,243.0,3208.3512008461225,7.589778525408467,14265,8100.764697488585,8593.0,986,2762.8101087069194,283850795,5802.0,10401.0,29.65204437011204,1.630538614989632,718,192.37231735159818,184.0,106,38.055296805431915,6740726,167.0,209.0,47.443270992179265,4.587421902153496,1133,216.39954337899545,214.0,107,48.38434888149756,7582640,181.0,246.0
180823UM1f2,17,34896,1637.4046309032553,2766.5930765703806,35836,0.3102171903866945,210.7865440512706,1,0.7620545073375262,34896,216.40697609399015,205.7306918754123,-1.1883561187795402,815.095454429505,0.9737693939055698,1637.7051003853555,2766.032461519489,C3,1,81.5431220178081,0.636059073482793,702,251.19414832645575,248.0,110,83.88235462061049,8765671,188.0,297.0,1525.5976828422645,1.1597250989019376,15991,10276.899673314992,10751.0,475,2387.5725388357423,358622691,9608.0,11694.0,29.65204437011204,2.136422465549239,1176,204.06977877120588,194.0,117,49.61644641827967,7121219,176.0,218.0,50.40847542919047,5.860195789679574,2197,313.4817457588262,288.0,111,145.79047313829417,10939259,259.0,328.0
180823UM1f2,18,23424,3196.27868852459,3215.3278688524592,24046,0.4649330369756953,172.69731641191316,1,0.7956521739130434,23424,183.64342605715115,162.58794483003624,-1.4025207128405879,656.4680374315354,0.9741329119188222,3197.071414664055,3214.2471516397995,C3,1,62.269293177235284,1.3402852032046602,443,213.34310963114754,215.0,106,58.016826536518224,4997349,168.0,253.0,2351.4071185498847,4.013176523646534,15706,9283.315403005465,8861.0,854,2337.3122625929245,217452380,7675.0,11260.0,26.686839933100835,0.7561603254616718,518,191.89651639344262,185.0,117,33.79650658574055,4494984,169.0,206.0,41.51286211815685,2.9483962213277786,892,230.99158982240436,228.0,108,41.86922078177164,5410747,201.0,256.0
180823UM1f2,19,38016,746.9612794612794,3436.787878787879,38898,0.39656587584700315,220.00789652340197,1,0.8005390835579514,38016,229.75951593585359,210.92067551478365,-1.2333185736720014,833.4386001800126,0.977325312355391,745.3484897220367,3438.1289916347873,C3,1,62.269293177235284,2.0975400857076187,514,227.4285827020202,231.0,104,61.58199895486196,8645925,184.0,269.0,1405.5069031433106,1.4567351926704206,15878,10296.910379840067,10749.0,602,2049.4823626979824,391447345,9516.0,11545.0,28.169442151606436,1.199398513788992,726,183.29666456228955,175.0,109,38.543981031068135,6968206,159.0,199.0,35.58245324413445,0.8258547561988566,546,250.24473905723906,249.0,107,42.98097104223282,9513304,226.0,273.0
180823UM1f2,20,24096,800.6925630810093,3656.15604249668,24662,0.3887207899977227,175.15701547451212,1,0.816260162601626,24096,182.88838665940736,168.5052397964976,-1.5154530667435921,658.8111831820431,0.9770497121076961,797.812942016348,3657.4941338270496,C3,1,75.6127131437857,3.1753276814293363,568,201.60408366533864,196.0,103,64.47959677028338,4857852,144.0,246.0,2407.7460028530977,1.2045510564246356,16674,10408.663512616202,11210.0,374,3342.4639852488967,250807156,9186.0,12622.0,53.37367986620167,6.0274822113534094,4888,244.71518094289507,222.0,105,161.3953176243954,5896657,189.0,263.0,40.030259899651256,2.6624384228702778,533,253.50315405046481,260.0,104,53.57694188614497,6108412,231.0,285.0
